name,n
Jegor,694
Merita,11
Brit,90
Kurmo,25
Arno,866
Katty,6
Ritta,40
Stenar,28
Linda-Marie,10
Katriine,14
Liivar,35
Jan-Martin,15
Dennis,47
Vergo,10
Agaate,6
Kattre,14
Egge,19
Oole,9
Milan,64
Fred-Erik,9
Anfisa,54
Ludvig,30
Karet,21
Hellen,62
Ender,6
Kristina,4047
Pille-Triin,19
Dominic,138
Haiko,6
Raneli,22
Külly,15
Merith,7
Valja,13
Aivar,4313
Marie Elisabeth,12
Gertrud,181
Saima,655
Keterli,7
Frants,25
Noelia,6
Rebekka,49
Hanna-Lotta,10
Annica,6
Armin,429
Cristel,27
Fernando,23
Kiur,88
Kerit,11
Kelin,23
Vallo,439
Christiana,7
Illarion,16
Aaren,7
Gudrun,22
Oili,6
Rut,10
Ingmar,248
Inge,1034
Jolanta,34
Vanessa,279
Benjamin,68
Vahur,1171
Iren,63
Kim,74
Deelia,15
Enno,1077
Kauro,17
Dag,8
Jadviga,57
Susanna,268
Danver,13
Riika,16
Annela,189
Aliide,106
Lore,21
Raivi,25
Jano,21
Kazimir,23
Lorette,22
Liivi,1249
Karry,8
Raquel,10
Shirley,8
Ranar,31
Casandra,11
Flo,6
Anna Maria,103
Ida Maria,13
Reinar,20
Adu,38
Almi,8
Veelika,7
Marii,332
Räni,8
Elve,753
Yulia,645
Aigi,177
Evgeniya,313
Robi,96
Mariina,95
Oleksiy,27
Rannu,6
Marieta,11
Gerda-Liis,8
Mauri,100
Siimon,22
Cetlin,6
Tähte,27
Marta,1174
Francesco,47
Karm,6
Velli,117
Ruudo,8
Heveli,8
Alfred,295
Rom,9
Biruta,10
Helge,139
Rachel,24
Kullo,19
Assar,18
Heikki,348
Ariel,20
Heli-Liis,7
Heidi,871
Ringa,34
Agnija,15
Marjen,9
Keimo,30
Dalia,25
Mery,13
Dimitri,190
Janre,14
Relia,8
Erland,9
Arlo,10
Rebecka,7
Nail,33
Boriss,894
Maikki,8
Keitlyn,29
Kenert,168
Kädi-Liis,15
Roman,4183
Volli,118
Krestina,14
Sepo,21
Veijo,7
Sigmar,110
Eget,8
Jost,6
Michal,21
Taissia,222
Alje,25
Anna-Liis,45
Mariken,18
Volodja,7
Keili,199
Margery,6
Kaily,26
Zanna,10
Hele-Riin,63
Anna-Stiina,7
Lemme,75
Keiti,206
Hinno,19
Marta Liisa,19
Katy,12
Izabel,7
Ilmi,116
Evari,6
Yurii,91
Antonio,42
Mairold,184
Mervi,21
Eiko,100
Gintaras,11
Raphael,6
Ergo,474
Keia,7
Lyana,9
Revor,10
Loviisa,72
Sixten,35
Anar,56
Karla,68
Gabriela,52
Ahti,798
Ausma,10
Airis,45
Enrico,178
Maime,71
Kerrit,8
Härmo,25
Kerty,8
Anatoliy,76
Armanda,8
Helo,23
Stella-Maria,19
Ramo,16
Sophie,51
Nadejda,30
Ebe,146
Hilve,17
Heigo,440
Martiina,23
Peep,976
Veste,9
Nijole,12
Mariane,9
Kaspar,2153
Heldur,647
Maaja,232
Luna,22
Jürgen,644
Vasili,16
Laidi,88
Teimuraz,6
Tajo,19
Edvin,259
Sirelin,45
Elisabetta,7
Elkhan,7
Diandra,36
Ole,19
Gerlyn,14
Mauno,66
Gevin,26
Aston,28
Farida,13
Krõõt,44
Airon,59
Leenu,19
Mik,6
Luiza,79
Lyudmila,141
Daiva,14
Maryam,12
Lisett,155
Karl Joosep,44
Illa,29
Marcos,69
Lya,73
Ädu,9
Tomi,98
Dea,72
Karmi,8
Vladlena,51
Toni,48
Edvig,12
Imant,10
Arik,8
Jānis,50
Liis Marii,19
Maria Elisa,10
Megan,7
Tave,10
Arko,68
Raune,6
Jandra,21
Kai,1190
Ljubov,2881
Christin,40
Anetta,26
Karl-Martin,118
Melanie,72
Alan,321
Velvo,32
Hurmi,15
Gitte,7
Jan Erik,59
Eduardas,8
Endrik,109
Randor,9
Mia Elise,7
Nata,7
Aida,79
Ilgar,12
Edit,30
Anton,2389
Esther,32
Hege,8
Eve-Ly,38
Aiver,11
Mirit,9
Aalo,23
Ioulia,7
Neli,9
Gerttu,39
Tatsiana,21
Artem,315
Bert,105
Talvar,11
Irada,7
Ilja,2078
Roksana,17
Ero,46
Elbe,59
Eliina,54
Eden,7
Raid,18
Gelia,8
Inari,12
Nicholas,22
Iloona,10
Venera,49
Karevi,6
Eva-Liis,19
Timofei,410
Eva-Lota,16
Daniell,9
Nicola,15
Ruti,76
Selje,19
Evelina,438
Virje,12
Ramol,6
Emilio,6
Cameron,8
Willem,21
Liisa-Lotta,30
Seila,29
Nemo,10
Raimu,55
Riine,56
Sabina,95
Tambet,316
Miralda,127
Mike,42
Hevelin,9
Aulis,57
Ardo,484
Siive,7
Algar,8
Annegrete,10
Vallot,10
Norman,151
Anika,19
Raik,24
Markus,2292
Viiu,170
Remy,141
Yuliya,89
Ian,42
Elmet,59
Karolina,526
Maivo,6
Koidu,412
Virko,112
Dmitrii,122
Elisa Marie,6
Leivo,20
Raini,71
Jelena,10520
Jürjo,18
Juulika,11
Evika,6
Elana,6
Edna,30
Laureen,97
Rica,19
Kättlin,6
Keijo,197
Sonja,127
Leele,13
Kretlin,9
Kalli,148
Ebe-Kai,12
Deivi,69
Christoph,17
Martti,527
Maie-Liis,8
Viljar,850
Tamar,40
Indrek,3544
Murat,17
Aljona,1153
Keiri,28
Laura Johanna,13
Lubova,8
Uno,1123
Evelin,1645
Riin,402
Genrich,16
Mehis,346
Marleen,793
Vincent,24
Andrea,215
Ann,372
Leonard,117
Keneli,21
Greete-Liis,25
Liidi,73
Käde,9
Viigi,31
Ahmet,9
Gretelis,6
Otto,385
Mait,953
Antti,244
Adi,11
Anto,65
Christofer,107
Sofie,32
Valju,24
Tšeslav,12
Leon,175
Ard,10
Sintija,7
Reesi,60
Ilda,46
Iris,417
Erly,7
Pauliine,47
Reigo,529
Hristina,32
Simon,242
Petr,366
Viktorija,474
Hasan,11
Hannah,53
Elge,27
Meljo,7
Rauf,16
Grete,1234
Gersti,21
Stenver,67
Kathriin,11
Tiidu,6
Meelik,14
Sveta,8
Erika,1320
Eteri,16
Johannes,1128
Mari Liis,28
Siina,68
Ailo,15
Yevgeniy,10
Gennadi,1823
Danilo,9
Arman,22
Alexandre,76
Eszter,6
Alissa,262
Brayan,18
Illia,25
Aita,630
Helyna,6
Maara,15
Gerty,14
Alvi,94
Mariliis,656
Gaili,37
Liza,32
Renita,46
Helery,84
