Elisa,139,
Elisa Maria,12,
Elisa Marie,6,
Elisabet,217,
Elisabeth,882,
Elisabetta,7,
Elisaveta,39,
Elise,318,
Elise-Marie,5,
Elisete,6,
Elita,16,
Eliza,49,
Elizabet,37,
Elizabeth,260,
Elizaveta,536,
Elize,8,
Elja,41,
Elje,67,
Elju,95,
Elke,36,
Elkhan,,7
Ell,33,
Ella,615,
Ellada,5,
Elle,1521,
Ellen,1432,
Elleonora,8,
Elli,473,
Ellie,5,
Ellika,20,
Ellin,6,
Ellina,38,
Ellinor,23,
Ellis,7,4
Ellu,65,
Elly,40,
Elma,136,
Elmar,,731
Elme,55,
Elmer,,30
Elmet,,60
Elmira,75,
Elmo,,316
Elmu,,67
Elna,101,
Elnara,16,
Elnur,,5
Elo,418,
Elon,,16
Elona,21,
Elor,,16
Elora,8,
Els,33,
Elsa,527,
Elsbeth,8,
Else,25,
Elsi,28,
Elton,,17
Elts,6,
Elvar,,10
Elve,755,
Elvi,1316,
Elviira,239,
Elvina,52,
Elvira,513,
Elvis,,174
Elvo,,55
Elyna,5,
Elys,15,
Elyse,9,
Elza,45,
Elīza,6,
Emanuel,,5
Emanuele,,9
Emely,13,
Emeri,9,5
Emil,,291
Emili,304,
Emilia,633,
Emilia Maria,5,
Emilie,88,
Emilija,61,
Emilio,,6
Emily,473,
Emin,,9
Emma,772,
Emma Lisette,7,
Emma-Leena,10,
Emma-Liis,6,
Emmaliisa,9,
Emmanuel,,8
Emmi,29,
Emre,,9
Ena,34,
Enar,,90
Enari,,26
Enda,118,
Endel,,1561
Ender,,6
Endi,4,10
Endla,636,
Endo,,34
Endre,,12
Endri,,18
Endrik,,109
Endriko,,10
Ene,4158,
Ene-Liis,22,
Ene-Ly,26,
Eneken,105,
Eneko,,5
Enel,119,
Enela,11,
Eneli,501,
Enelii,7,
Eneliis,13,
Enelin,78,
Enelis,9,
Enely,131,
Enelyn,6,
Eneri,8,4
Enn,,2152
Enna,126,4
Enni,6,4
Enno,,1087
Ennu,,108
Eno,4,71
Enri,,44
Enrice,,6
Enrico,,178
Enrik,,21
Enriko,,93
Enrique,,13
Enver,,15
Enzo,,8
Epp,687,
Era,8,
Ere,109,
Ereli,15,
Erelin,6,
Erely,7,
Eren,9,4
Erena,11,
Eret,103,4
Erge,31,
Ergi,,16
Ergo,,476
Eri,4,12
Erica,21,
Eric,,156
Erica,21,
Erich,,461
Erik,,2082
Erika,1318,
Erin,15,
Erina,6,
Erje,13,
Erki,,1423
Erkin,,8
Erkki,,704
Erkko,,50
Erko,,355
Erla,11,
Erland,,9
Erle,214,
Erleen,6,
Erlend,,135
Erli,38,6
Erlika,9,
Erliko,,7
Erling,,8
Erlis,,9
Erly,7,
Erme,15,4
Ermo,,235
Ermu,,9
Erna,446,
Ernest,,61
Ernesto,,6
Erni,,42
Ernst,,96
Ero,,46
Erol,,9
Eron,,21
Eros,,5
Ert,,5
Erti,4,19
Ertti,,6
Erve,6,
Ervin,,556
Ervo,,6
Erwin,,11
Erık,,2082
Esenia,14,
Esfir,16,
Esko,,80
Esme,15,
Esmeralda,10,
Espe,5,
Esper,,21
Esta,364,
Este,22,
Estel,6,
Estella,18,
Estelle,39,
Ester,1208,
Esther,31,
Esti,32,
Estin,8,
Eston,,22
Estra,55,
Eszter,6,
Ete,11,
Eteri,16,
Ethel,192,
Eti,15,
Etibar,,5
Etkar,,8
Ettel,12,
Etti,8,
Eugen,,104
Eugene,,6
Eugenia,20,
Eva,1624,
Eva Liisa,19,
Eva Maria,55,
Eva-Johanna,5,
Eva-Kaisa,6,
Eva-Kristina,5,
Eva-Liis,20,
Eva-Liisa,86,
Eva-Lota,16,
Eva-Lotta,64,
Eva-Ly,5,
Eva-Mai,9,
Eva-Maria,164,
Eva-Stina,5,
Eva-Liisa,86,
Evald,,403
Evaliisa,8,
Evan,,40
Evar,,61
Evari,,6
Evdokia,138,
Eve,3062,
Eve-Liina,5,
Eve-Liis,23,
Eve-Ly,38,
Eve-Mai,11,
Eve-Ly,38,
Eve-Lyn,5,
Eve-Mai,11,
Eveliis,24,
Eveli,465,
Evelii,12,
Eveliin,23,
Eveliina,26,
Eveliine,5,
Eveliis,24,
Evelin,1647,
Evelina,438,
Eveline,11,
Evely,261,
Evelyn,476,
Even,,59
Ever,,34
Everin,5,
Evert,,173
Evgeni,,60
Evgenia,286,
Evgenii,,55
Evgeniia,37,
Evgenija,9,
Evgeniy,,75
Evgeniya,313,
Evgeny,,1029
Evi,1988,
Evika,6,
Evita,33,
Evnika,5,
Evo,4,25
Evor,,7
Ewa,13,
Fabian,,15
Fabio,,13
Fabrizio,,6
Faina,268,
Farid,,13
Farida,13,
Farit,,6
Fatima,25,
Federico,,28
Fedor,,141
Felicia,13,
Feliks,,309
Felipe,,7
Felix,,80
Feodor,,53
Ferdinand,,38
Ferenc,,11
Fernando,,23
Filipp,,172
Filip,,18
Filipp,,172
Filippo,,10
Fiona,20,
Fjodor,,373
Flo,6,
Flora,22,
Florian,,18
Francesca,28,
Francesco,,47
Francisco,,8
Franco,,19
Franek,,10
Frank,,138
Franka,6,
Franko,,13
Frants,,26
Franz,,33
Franziska,8,
Fred,,483
Fred Erik,,11
Fred-Erik,,9
Freddi,,5
Freddy,,76
Frederic,,5
Frederick,,15
Frederik,,96
Frederika,5,
Fredi,,111
Fredrik,,18
Fredy,,77
Frida,56,
Friedrich,,24
Frol,,5
Fränk,,7
Fyodor,,29
Galina,8626,
Gabor,,5
Gabriel,,251
Gabriela,51,
Gabriele,10,12
Gabriella,39,
Gagik,,6
Gaia,10,
Gaida,45,
Gaidar,,5
Gaidi,40,
Gaile,6,
Gaili,37,
Gaily,20,
Gairi,4,4
Gaisa,7,
Gajane,29,
Galia,16,
Galija,11,
Galina,8626,
Galja,11,
Ganna,51,
Gardo,,8
Garik,,8
Garis,5,4
Garmen,22,
Garri,,42
Garry,,23
Gary,,10
Gaspar,,21
Gatis,,17
Gayane,11,
Gea,189,
Gedi,13,
Gediminas,,10
Gedy,5,
Geelia,7,
Geelika,6,
Geete,18,
Geethe,6,
Geia,6,
Geidi,73,
Geido,,12
Geidy,36,
Geili,42,
Geilin,5,
Geily,26,
Geio,,13
Geir,7,25
Geiri,18,4
Geit,5,19
Geiti,15,
Geitlin,13,
Geity,9,
Geiu,12,
Gelena,27,
Gelia,8,
Gelina,7,
Gelli,7,
Gelly,17,
Gemma,7,
Gen,,22
Gendra,17,
Genely,10,
Genert,,25
Genet,,5
Gennadi,,1836
Gennadii,,27
Gennady,,694
Gennert,,7
Genno,,14
Genrich,,16
Genrietta,32,
Genrih,,27
Genry,,8
Georg,,957
Georg Mattias,,11
George,,33
Georgi,,919
Georgii,,30
Georgina,8,
Georgios,,7
Georgy,,166
Gera,5,
Gerd,,58
Gerda,643,
Gerda-Liis,8,
Gerden,,5
Gerdi,22,4
Gerdo,,63
Gerdy,7,
Gerhard,,60
Gerit,14,4
Gerle,34,
Gerli,999,4
Gerlika,6,
Gerlin,76,
Gerly,236,
Gerlyn,14,
German,,613
Germo,,203
Gerol,,7
Geron,,34
Gerret,,63
Gerri,15,15
Gerrit,5,32
Gerry,7,28
Gersti,21,
Gert,4,1039
Gerta,100,
Gertel,5,
Gerth,,17
Gerthrud,7,
Gerti,31,4
Gertlin,6,
Gerto,,14
Gertrud,180,
